company,doc_type,title,financial_year,fy_end,first_mandatory_aasb_s2_period,report_status,url,page_count,date_retrieved
BHP,annual_report,BHP Annual Report 2025 (OFR section 9.8 Climate change),FY2025,30 June,FY ending 30 June 2026,pre-mandatory (voluntary),https://www.bhp.com/news/media-centre/reports-presentations/2025/08/2025-annual-reporting-suite,TBC,2026-06-17
BHP,climate_report,BHP Climate Transition Action Plan 2024 (CTAP 2024),FY2024,30 June,FY ending 30 June 2026,pre-mandatory (voluntary),https://www.bhp.com/sustainability/climate-change/climate-transition-action-plan,TBC,2026-06-17
BHP,data_index,BHP ESG Standards and Databook 2025,FY2025,30 June,FY ending 30 June 2026,pre-mandatory (voluntary),https://www.bhp.com/news/media-centre/reports-presentations/2025/08/2025-annual-reporting-suite,TBC,2026-06-17
Rio Tinto,annual_report,Rio Tinto 2025 Annual Report,FY2025 (CY2025),31 December,CY2025,POSSIBLY first mandatory - verify,https://www.riotinto.com/en/invest/reports,TBC,2026-06-17
Rio Tinto,climate_report,Rio Tinto 2025 Climate Action Plan (2025 CAP),FY2025 (CY2025),31 December,CY2025,POSSIBLY first mandatory - verify,https://www.riotinto.com/en/sustainability/climate-change,TBC,2026-06-17
Woodside,annual_report,Woodside 2025 Annual Report (released 24 Feb 2026),FY2025 (CY2025),31 December,CY2025,POSSIBLY first mandatory - verify,https://www.woodside.com/investors/reports-investor-briefings,TBC,2026-06-17
Woodside,climate_report,Woodside 2025 Climate and Sustainability Summary,FY2025 (CY2025),31 December,CY2025,POSSIBLY first mandatory - verify,https://www.woodside.com/docs/default-source/investor-documents/major-reports-(static-pdfs)/2025-annual-report/2025-climate-and-sustainability-summary.pdf,TBC,2026-06-17
Fortescue,annual_report,Fortescue FY25 Annual Report,FY2025,30 June,FY ending 30 June 2026,pre-mandatory (voluntary),https://investors.fortescue.com/en/announcements-and-reports,TBC,2026-06-17
Fortescue,sustainability_report,Fortescue FY25 Sustainability Report,FY2025,30 June,FY ending 30 June 2026,pre-mandatory (voluntary),https://fy25sustainability.fortescue.com/en,TBC,2026-06-17
Fortescue,climate_report,Fortescue FY25 Climate Transition Plan,FY2025,30 June,FY ending 30 June 2026,pre-mandatory (voluntary),https://fy25ctp.fortescue.com/en,TBC,2026-06-17
Mineral Resources,annual_report,MinRes 2025 Annual Report,FY2025,30 June,FY ending 30 June 2026,pre-mandatory (voluntary),https://www.mineralresources.com.au/investor-centre/annual-reporting-suite/,TBC,2026-06-17
Mineral Resources,sustainability_report,MinRes 2025 Sustainability Report,FY2025,30 June,FY ending 30 June 2026,pre-mandatory (voluntary),https://www.mineralresources.com.au/investor-centre/annual-reporting-suite/,TBC,2026-06-17
South32,annual_report,South32 FY25 Annual Report,FY2025,30 June,FY ending 30 June 2026,pre-mandatory (voluntary),https://www.south32.net/investors/annual-reporting-suite/fy25,TBC,2026-06-17
South32,climate_report,South32 Climate Change Action Plan 2025,FY2025,30 June,FY ending 30 June 2026,pre-mandatory (voluntary),https://www.south32.net/docs/default-source/annual-reporting-suite/2025/climate-change-action-plan-2025.pdf,TBC,2026-06-17
South32,data_index,South32 Sustainability Databook FY2025,FY2025,30 June,FY ending 30 June 2026,pre-mandatory (voluntary),https://www.south32.net/sustainability/sustainability-reporting,TBC,2026-06-17
