series,n,sen_slope_per_decade,ols_slope_per_decade,ols_p,mk_tau,mk_p,mk_p_tfpw,mk_r1,mk_trend
BoM CDO station 9021: days at or above 35 C,81,2.307692307692308,2.1553748870822043,7.086837695816e-08,0.3969135802469136,1.5483152805999458e-07,1.5483152805999458e-07,0.12306571007307752,increasing
BoM CDO station 9021: days at or above 40 C,81,0.39344685242518057,0.537940379403794,0.0007132768914182114,0.229320987654321,0.002215294988260181,0.002215294988260181,-0.059690479234607435,increasing
"BoM CDO station 9021: hottest day of the year (TXx, C)",81,0.26568627450980326,0.2527777777777778,0.0002456818938357721,0.26358024691358023,0.0004971625565993512,0.0004971625565993512,-0.06344496908012026,increasing
BoM CDO station 9021: heatwave events (3+ days above day-of-year p90),81,0.6060606060606061,0.6296296296296295,1.1368314271183725e-06,0.3530864197530864,2.6286777826245674e-06,2.6286777826245674e-06,0.05132727441888726,increasing
BoM CDO station 9021: days inside heatwaves,81,2.5925925925925926,2.8579494128274616,2.2635040926125396e-07,0.38055555555555554,4.878502174233958e-07,4.878502174233958e-07,0.04121653994560594,increasing
"PORT HEDLAND AIRPORT, AS: days at or above 35 C",76,4.790199530516432,4.621052631578947,0.00011129924337098792,0.30842105263157893,8.15646151370733e-05,8.15646151370733e-05,0.17712150298854962,increasing
"PORT HEDLAND AIRPORT, AS: days at or above 40 C",76,1.0257159555815312,1.0606971975393027,0.0879340246125651,0.1319298245614035,0.09230570005537361,0.09230570005537361,0.14401733498792293,no trend
"PORT HEDLAND AIRPORT, AS: hottest day of the year (TXx, C)",76,0.17108013937282285,0.14348598769651397,0.07060146889805728,0.15649122807017543,0.04582859746397623,0.04582859746397623,-0.09342223386565404,increasing
"PORT HEDLAND AIRPORT, AS: heatwave events (3+ days above day-of-year p90)",76,0.6138147566718996,0.6248803827751195,1.0044389975817552e-05,0.3101754385964912,6.78023828974376e-05,6.78023828974376e-05,-0.007332184647490847,increasing
"PORT HEDLAND AIRPORT, AS: days inside heatwaves",76,3.333333333333333,3.350375939849624,9.666305682826535e-07,0.33157894736842103,2.2690824422255382e-05,2.2690824422255382e-05,0.05815677331056375,increasing
"PERTH AIRPORT, AS: days at or above 35 C",76,2.4242424242424243,2.1801777170198227,7.398197130283962e-07,0.383859649122807,9.219016085664249e-07,9.219016085664249e-07,0.14254942692737466,increasing
"PERTH AIRPORT, AS: days at or above 40 C",76,0.31746031746031744,0.4833902939166097,0.006374866021443787,0.18,0.020301907444680283,0.020301907444680283,-0.06546551269629836,increasing
"PERTH AIRPORT, AS: hottest day of the year (TXx, C)",76,0.24999999999999928,0.21842788790157214,0.002867048992789463,0.23508771929824562,0.0026675635280380755,0.0026675635280380755,-0.07753777696205497,increasing
"PERTH AIRPORT, AS: heatwave events (3+ days above day-of-year p90)",76,0.6666666666666666,0.675598086124402,2.973344175394271e-06,0.3550877192982456,4.9640667493105875e-06,4.9640667493105875e-06,0.04863277063655404,increasing
"PERTH AIRPORT, AS: days inside heatwaves",76,2.8571428571428568,3.0440191387559805,8.675016355791391e-07,0.3778947368421053,1.3491501896929538e-06,1.3491501896929538e-06,0.03871666146097875,increasing
