year,regional_cool_mm,regional_anom_pct,regional_anom_mm,n_stations
1950,543.9142857142857,-8.639649110529659,-35.82891925465841,7
1951,537.6285714285714,-8.607175617105922,-42.11463354037272,7
1952,528.7142857142857,-10.116116519799123,-51.02891925465844,7
1953,575.1999999999999,3.0738857100069525,-4.543204968944167,7
1954,455.58571428571423,-22.815387700621585,-124.15749068322988,7
1955,823.5,33.96620965932421,215.37133333333327,6
1956,564.5142857142856,-3.340320214119887,-15.228919254658447,7
1957,575.0714285714286,-1.7004669644343753,-4.6717763975155435,7
1958,593.2142857142857,5.8998045724956665,13.471080745341558,7
1959,484.7571428571428,-15.128575216327905,-94.98606211180127,7
1960,519.2428571428571,-9.789451646242851,-60.500347826087015,7
1961,623.3142857142857,5.236378420838739,43.5710807453416,7
1962,488.9166666666667,-12.208248151106043,-60.52332246376816,6
1963,770.9833333333332,29.327922738287764,162.8546666666666,6
1964,778.1999999999999,29.484309283704352,159.23153864734297,6
1965,599.5571428571428,4.821060056978676,19.813937888198698,7
1966,580.7142857142857,0.3393435438600602,0.9710807453415587,7
1967,718.5,16.508214425736316,105.70723309178739,6
1968,623.9571428571428,10.162999409843133,44.21393788819871,7
1969,398.0428571428571,-33.595669000216624,-181.70034782608698,7
1970,571.8,-3.427808222639182,-7.943204968944152,7
1971,512.4,-13.035317627209123,-67.34320496894415,7
1972,460.59999999999997,-21.890960817318273,-119.14320496894415,7
1973,683.4857142857143,18.185812486088953,103.74250931677014,7
1974,663.7428571428571,21.1575504942122,83.99965217391302,7
1975,600.4571428571428,4.024967698322419,20.713937888198718,7
1976,571.3,-7.717111784910505,-45.1024,5
1977,556.8571428571429,-4.6460910675031215,-22.88606211180124,7
1978,623.0333333333334,-1.8989334972522869,14.904666666666666,6
1979,540.0833333333334,-16.060184005938495,-72.70943357487924,6
1980,524.3857142857142,-10.208281960143877,-55.35749068322982,7
1981,595.1142857142858,1.8355778922001798,15.371080745341585,7
1982,423.2285714285714,-28.392059469513274,-156.5146335403727,7
1983,646.9857142857143,12.913263140326674,67.24250931677015,7
1984,568.8166666666667,-6.789919332877985,-43.97610024154588,6
1985,545.1833333333334,-8.217075674152742,-67.60943357487922,6
1986,476.6857142857143,-20.626798772776898,-103.05749068322982,7
1987,445.09999999999997,-21.094544085764547,-134.6432049689441,7
1988,681.5714285714286,16.722290645530183,101.82822360248451,7
1989,539.1,-7.384370042189652,-40.64320496894412,7
1990,548.8166666666667,-2.4352356720793997,-0.6233224637681474,6
1991,586.8857142857142,0.6001796438895562,7.142509316770202,7
1992,588.4285714285714,0.19741942177119245,8.685366459627314,7
1993,495.2833333333333,-9.991118697822282,-54.15665579710148,6
1994,456.9166666666667,-17.885598794168917,-92.52332246376812,6
1995,565.1714285714286,0.8894033420963205,-14.57177639751552,7
1996,644.1714285714286,13.49183594031442,64.42822360248447,7
1997,497.1285714285715,-16.634349876946978,-82.61463354037264,7
1998,562.6428571428571,-2.035539927547493,-17.100347826086956,7
1999,597.6333333333333,7.288091794048857,37.589594202898525,6
2000,478.24285714285713,-19.24838620513495,-101.50034782608695,7
2001,410.5,-28.088706322781686,-169.24320496894413,7
2002,492.2428571428572,-15.582444530739991,-87.50034782608694,7
2003,571.1714285714286,-1.0407756941984354,-8.571776397515537,7
2004,416.3333333333333,-23.00418934804634,-143.71040579710146,6
2005,566.657142857143,0.6385397458884636,-13.08606211180123,7
2006,372.15714285714284,-36.31047213562784,-207.58606211180128,7
2007,519.0,-9.320080808008465,-60.743204968944106,7
2008,560.8857142857144,-2.2079889558643857,-18.857490683229816,7
2009,522.2,-9.760660111723833,-57.54320496894412,7
2010,337.7714285714286,-44.11531807886627,-241.97177639751553,7
2011,540.4142857142857,-5.17236366238766,-39.32891925465838,7
2012,435.6857142857143,-28.130507430485682,-144.05749068322982,7
2013,555.1166666666667,-7.3893903331992705,-26.79040579710147,6
2014,490.81666666666666,-7.907764351339863,-58.62332246376814,6
2015,388.2857142857143,-32.89139850390516,-191.4574906832298,7
2016,528.8714285714285,-9.942033735416762,-50.87177639751555,7
2017,414.6,-23.8021158236094,-131.37598695652173,5
2018,477.24285714285713,-15.531406670983072,-102.50034782608698,7
2019,364.0666666666666,-30.01960394905157,-162.85507246376815,6
2020,380.31666666666666,-32.778371597251045,-169.12332246376815,6
2021,665.9,18.31851014057073,86.15679503105589,7
2022,486.25,-6.435995665827981,-40.67173913043482,6
2023,440.75714285714287,-26.442762395783152,-138.98606211180126,7
2024,456.65714285714284,-21.260036005784247,-123.08606211180124,7
