year,dmi_AprOct,sam_AprOct,nino34_AprOct
1950,-0.43814285714285717,,-1.2214285714285715
1951,-0.15857142857142859,,0.1757142857142857
1952,-0.30014285714285716,,-0.40571428571428575
1953,-0.11599999999999999,,0.23428571428571426
1954,-0.5861428571428571,,-1.2285714285714284
1955,-0.4947142857142857,,-1.417142857142857
1956,-0.718,,-0.9814285714285714
1957,-0.39300000000000007,-1.2099999999999997,0.6842857142857143
1958,-0.8985714285714286,-0.4185714285714286,0.07571428571428572
1959,-0.6927142857142857,-0.3071428571428572,-0.49000000000000005
1960,-0.71,-0.019999999999999987,-0.34285714285714286
1961,0.19442857142857145,0.4414285714285714,-0.5328571428571428
1962,-0.30657142857142855,-0.4,-0.6885714285714286
1963,0.08071428571428571,-0.28857142857142865,0.2842857142857143
1964,-0.6582857142857143,-1.0842857142857143,-1.157142857142857
1965,-0.31599999999999995,0.22999999999999993,0.6357142857142858
1966,-0.15057142857142858,0.30285714285714294,-0.19714285714285715
1967,0.027142857142857142,0.8857142857142858,-0.6114285714285714
1968,-0.31428571428571433,-0.9628571428571429,-0.11857142857142856
1969,-0.2925714285714286,0.3271428571428571,0.23142857142857146
1970,-0.3061428571428571,-0.63,-0.7999999999999999
1971,-0.33514285714285713,-0.9385714285714286,-1.1142857142857143
1972,0.41942857142857143,-1.1614285714285713,0.8014285714285715
1973,-0.3687142857142857,0.059999999999999956,-1.3628571428571428
1974,-0.36728571428571427,-0.5971428571428571,-0.9785714285714285
1975,-0.2982857142857143,-0.5542857142857143,-1.4271428571428573
1976,0.107,1.0085714285714285,-0.14857142857142858
1977,-0.13000000000000003,-0.5071428571428571,0.07571428571428572
1978,-0.28785714285714287,0.4628571428571429,-0.6657142857142857
1979,-0.2397142857142857,1.2314285714285713,-0.09999999999999999
1980,-0.4897142857142857,-0.6514285714285714,-0.10857142857142857
1981,-0.3881428571428572,-1.0799999999999998,-0.45999999999999996
1982,0.31185714285714283,0.7171428571428571,0.8242857142857142
1983,0.03842857142857142,0.30714285714285705,0.04714285714285715
1984,-0.3911428571428571,-0.15999999999999998,-0.5800000000000001
1985,-0.37857142857142856,0.6257142857142857,-0.8014285714285715
1986,-0.265,0.04142857142857148,0.054285714285714284
1987,0.18128571428571427,0.18,1.1242857142857143
1988,-0.3244285714285714,-1.8671428571428572,-1.3228571428571427
1989,-0.4655714285714286,0.8457142857142858,-0.6214285714285713
1990,-0.3524285714285714,-0.95,0.11714285714285715
1991,0.18971428571428572,-0.3785714285714286,0.5271428571428571
1992,-0.6671428571428571,-0.6042857142857143,0.39
1993,-0.157,1.737142857142857,0.3557142857142857
1994,0.5617142857142857,-0.6985714285714285,0.41285714285714287
1995,-0.20142857142857143,0.03142857142857146,-0.3614285714285714
1996,-0.5961428571428572,-0.39,-0.4057142857142857
1997,0.4122857142857143,0.5371428571428571,1.4042857142857144
1998,-0.2671428571428572,1.5114285714285713,-0.5757142857142857
1999,-0.06257142857142857,1.2585714285714285,-1.1657142857142857
2000,0.02885714285714286,-0.01857142857142862,-0.7000000000000001
2001,-0.10214285714285713,0.6557142857142857,-0.20714285714285713
2002,-0.09257142857142857,-1.1428571428571428,0.7142857142857143
2003,-0.027,0.48428571428571426,0.01714285714285715
2004,-0.22457142857142856,0.9199999999999999,0.43571428571428567
2005,-0.26057142857142856,0.4114285714285714,0.03142857142857143
2006,0.14185714285714285,0.5914285714285714,0.17285714285714285
2007,0.14057142857142857,-1.0985714285714285,-0.7071428571428572
2008,0.10357142857142856,0.7185714285714285,-0.5057142857142857
2009,0.010000000000000004,-0.27285714285714285,0.3757142857142857
2010,-0.08114285714285716,1.7428571428571427,-0.897142857142857
2011,0.17785714285714285,0.03714285714285716,-0.6571428571428571
2012,0.16014285714285714,1.3642857142857143,0.08
2013,-0.30742857142857144,-0.7357142857142858,-0.31714285714285717
2014,-0.131,0.24285714285714283,0.18142857142857144
2015,0.29957142857142854,1.422857142857143,1.5371428571428571
2016,-0.3458571428571429,0.7000000000000001,-0.1714285714285714
2017,0.33971428571428575,0.8142857142857143,0.004285714285714274
2018,0.23685714285714285,0.16285714285714284,0.12999999999999998
2019,0.6131428571428571,-0.34857142857142864,0.36
2020,0.10885714285714286,-0.16285714285714287,-0.4614285714285714
2021,-0.031285714285714285,0.8071428571428572,-0.5528571428571428
2022,-0.28271428571428575,0.8942857142857142,-0.9557142857142857
2023,0.6772857142857143,0.18285714285714286,1.0185714285714285
2024,0.16471428571428573,0.09999999999999995,0.08
