water_year,regional_anom_pct,n_stations,regional_ML_adj
1967,202.35303316565515,6,136248.3895856162
1968,109.44510553473587,6,94381.58445747229
1969,-55.28274016240488,7,20150.79715180435
1970,76.15526713880035,7,79380.29003180469
1971,-5.496805008513207,7,42585.6754055813
1972,-39.94167219541066,8,27063.89401457422
1973,90.83353197244313,9,85994.71001812346
1974,305.4523842577197,9,182707.7235851518
1975,14.683530871259018,10,51679.47623875952
1976,-63.319322210197846,10,16529.29764071942
1977,-66.02786493226746,10,15308.755613599626
1978,15.806592351419644,10,52185.557876094
1979,-74.38517763973249,10,11542.726261310463
1980,-54.08824634608592,10,20689.068116508934
1981,97.96429092079786,12,89208.0213352428
1982,-50.86614023598278,12,22141.035586387105
1983,116.43374432762674,12,97530.85261912241
1984,-21.225182834952594,12,35498.04632771332
1985,-39.60941800615894,12,27213.61666741038
1986,-11.849317001367112,12,39723.063048802156
1987,-39.27773414615794,12,27363.082314582894
1988,43.62639499544394,12,64721.90741805897
1989,-43.55138503105882,12,25437.260553767726
1990,-23.837079799850702,12,34321.05547200739
1991,42.73731377840584,12,64321.263565526846
1992,49.223892643684,12,67244.29005234905
1993,-29.894550384909014,12,31591.396690234054
1994,-32.62583734088282,12,30360.60550103588
1995,39.44042975368422,12,62835.59916085472
1996,128.9371312758905,12,103165.21427321367
1997,-49.6148725148262,12,22704.890395988576
1998,-26.593241296474293,12,33079.05514735015
1999,40.02363415175904,12,63098.406711369375
2000,1.222263312170618,12,45613.46787924678
2001,-69.62958409309351,12,13685.724317157024
2002,-54.35487001625925,12,20568.920336590287
2003,-5.269672721295817,12,42688.027308693556
2004,-41.32387640281111,12,26441.03571093817
2005,1.5036801633270371,12,45740.28186345217
2006,-76.03229639086038,12,10800.490355992157
2007,-40.55050165449152,12,26789.53912398974
2008,-42.631285137955864,12,25851.88225403852
2009,-5.515199478384378,12,42577.38636389057
2010,-89.39433857039619,12,4779.195614955535
2011,-55.566014580867126,12,20023.146097928075
2012,-81.5716377083416,12,8304.314524812791
2013,-55.05924896906321,12,20251.50828031711
2014,-62.16254332708504,12,17050.573244541178
2015,-88.05213683017674,12,5384.027733519791
2016,-50.96557321194655,12,22096.228419397827
2017,-19.12262290343693,11,36445.51624946964
2018,-0.23226310271792272,11,44958.01924834211
2019,-69.55321020864545,11,13720.140438779805
2020,-82.88595583049064,11,7712.047512733944
2021,33.389248902187745,11,60108.77470179265
2022,-16.970844934515707,11,37415.16513951633
